地震時間,經度,緯度,規模
2024/4/4 22:54,121.757,24.258,3.5
2024/4/4 22:53,121.747,24.2563,4.2
2024/4/4 22:50,121.746,24.2472,3.5
2024/4/4 22:49,121.742,24.244,3.2
2024/4/4 22:49,121.751,24.242,3.3
2024/4/4 22:47,121.702,24.2858,3.5
2024/4/4 22:44,121.762,24.2382,3.6
2024/4/4 22:40,121.738,24.2508,3.3
2024/4/4 22:39,121.728,24.2215,3.5
2024/4/4 22:38,121.769,24.2302,3.3
2024/4/4 22:36,121.747,24.2362,3.7
2024/4/4 22:34,121.747,24.2323,3.3
2024/4/4 22:31,121.734,24.2327,3.4
2024/4/4 22:31,121.757,24.2403,3.9
2024/4/4 22:30,121.748,24.2613,5.1
2024/4/4 22:27,121.673,24.0762,3.6
2024/4/4 22:09,121.62,23.9153,4.1
2024/4/4 22:05,121.662,24.0555,4.0
2024/4/4 21:53,121.76,24.2962,3.2
2024/4/4 21:43,121.839,24.1772,3.7
2024/4/4 21:35,121.699,24.172,3.6
2024/4/4 21:34,121.833,24.1783,3.8
2024/4/4 21:24,121.659,24.127,3.7
2024/4/4 21:19,121.586,23.769,3.7
2024/4/4 21:17,121.674,24.2393,3.3
2024/4/4 21:13,121.581,23.7713,3.4
2024/4/4 21:04,121.527,23.8793,3.4
2024/4/4 20:40,121.671,24.1157,3.7
2024/4/4 20:35,121.74,24.244,3.5
2024/4/4 20:15,121.683,24.1663,3.4
2024/4/4 19:21,121.731,24.1083,4.1
2024/4/4 19:10,121.703,24.1318,4.1
2024/4/4 18:59,121.658,24.0138,4.0
2024/4/4 18:42,121.664,24.0403,3.8
2024/4/4 18:10,121.852,24.19,4.2
2024/4/4 18:04,121.684,24.1135,3.1
2024/4/4 18:01,121.692,24.1893,3.5
2024/4/4 17:54,121.706,24.0478,3.7
2024/4/4 17:46,121.783,24.2865,3.3
2024/4/4 17:36,121.617,23.926,3.4
2024/4/4 17:09,121.695,23.9193,3.7
2024/4/4 16:41,121.568,23.8288,4.0
2024/4/4 16:06,121.695,24.1248,3.5
2024/4/4 15:59,121.761,24.229,3.4
2024/4/4 15:52,121.671,24.0535,4.2
2024/4/4 15:51,121.818,24.1692,3.4
2024/4/4 15:43,121.583,24.0028,3.5
2024/4/4 15:32,121.679,24.239,3.3
2024/4/4 15:27,121.763,24.2328,4.0
2024/4/4 15:17,121.619,23.8167,4.3
2024/4/4 15:17,121.757,24.2493,3.6
2024/4/4 15:14,121.667,24.199,3.7
2024/4/4 15:06,121.627,24.0665,3.6
2024/4/4 14:57,121.682,23.9672,3.8
2024/4/4 14:56,121.768,24.2283,3.3
2024/4/4 14:52,121.679,24.1873,3.5
2024/4/4 14:51,121.805,24.1612,3.3
2024/4/4 14:44,121.826,24.1583,4.4
2024/4/4 14:44,121.713,24.1547,3.3
2024/4/4 14:34,121.763,24.2318,3.9
2024/4/4 14:33,121.77,24.225,3.6
2024/4/4 14:18,121.669,24.0293,4.0
2024/4/4 14:11,121.734,24.0512,3.5
2024/4/4 14:00,121.63,24.113,3.1
2024/4/4 13:53,120.215,23.3675,3.2
2024/4/4 13:52,121.754,24.236,3.6
2024/4/4 13:21,121.727,24.1192,3.4
2024/4/4 13:16,121.772,24.1835,4.4
2024/4/4 13:08,121.662,23.9823,4.2
2024/4/4 13:02,121.701,24.2762,3.0
2024/4/4 13:01,121.597,24.032,3.5
2024/4/4 13:00,121.747,24.1992,4.8
2024/4/4 12:56,121.51,23.7812,3.7
2024/4/4 12:43,121.802,24.2243,3.8
2024/4/4 12:16,121.552,23.7782,3.8
2024/4/4 12:11,121.735,24.1728,4.1
2024/4/4 12:11,121.71,24.2308,3.3
2024/4/4 11:53,121.716,24.1753,3.8
2024/4/4 11:44,121.58,23.9222,3.6
2024/4/4 11:35,121.694,24.2415,3.5
2024/4/4 11:32,121.725,24.1622,3.4
2024/4/4 11:31,121.716,24.1677,4.0
2024/4/4 11:14,121.684,24.0262,4.4
2024/4/4 11:11,121.709,24.1927,3.7
2024/4/4 11:10,121.721,24.2,4.0
2024/4/4 11:09,121.705,24.198,3.1
2024/4/4 10:49,121.628,23.9638,3.5
2024/4/4 10:43,121.719,24.1747,3.9
2024/4/4 10:34,121.734,24.0368,3.4
2024/4/4 10:33,121.696,24.1628,3.5
2024/4/4 10:17,121.754,24.0178,4.1
2024/4/4 10:16,121.688,24.117,3.7
2024/4/4 10:14,120.209,23.3713,3.5
2024/4/4 10:08,121.718,24.1802,3.7
2024/4/4 10:05,121.654,24.017,4.0
2024/4/4 10:04,121.719,24.1845,4.0
2024/4/4 10:02,121.708,24.1738,4.8
2024/4/4 10:01,121.697,24.1758,3.7
2024/4/4 09:55,121.729,24.1113,3.3
2024/4/4 09:52,121.669,24.2375,3.3
2024/4/4 09:47,121.744,24.2,3.4
2024/4/4 09:43,121.771,24.306,3.4
2024/4/4 09:32,121.696,24.2275,3.9
2024/4/4 09:31,121.822,24.1832,4.3
2024/4/4 09:29,121.54,23.8217,4.8
2024/4/4 09:14,121.625,24.0653,4.3
2024/4/4 08:53,121.701,24.2217,3.5
2024/4/4 08:43,121.497,23.8135,3.3
2024/4/4 08:32,121.691,24.225,4.2
2024/4/4 08:30,121.733,24.2097,3.5
2024/4/4 08:28,121.718,24.2213,3.5
2024/4/4 08:27,121.742,24.1958,3.3
2024/4/4 08:18,121.688,24.2253,4.3
2024/4/4 07:56,121.641,24.1982,3.4
2024/4/4 07:50,121.76,24.2145,3.2
2024/4/4 07:48,121.839,24.1502,3.9
2024/4/4 07:47,121.782,24.2503,3.6
2024/4/4 07:47,121.745,24.2267,3.4
2024/4/4 07:43,121.786,24.2537,4.1
2024/4/4 07:23,121.668,24.182,3.7
2024/4/4 07:09,121.782,24.255,3.5
2024/4/4 06:53,121.785,24.22,3.3
2024/4/4 06:48,121.681,24.0707,4.8
2024/4/4 06:46,121.685,23.9872,4.8
2024/4/4 06:36,121.576,23.8358,3.5
2024/4/4 06:32,121.708,24.116,3.9
2024/4/4 06:26,121.81,24.1828,3.6
2024/4/4 06:19,121.599,23.8467,4.2
2024/4/4 06:15,121.73,24.0178,3.7
2024/4/4 06:10,121.708,24.1095,3.9
2024/4/4 05:56,121.667,24.1817,3.7
2024/4/4 05:56,121.681,24.1968,4.8
2024/4/4 05:52,121.804,24.3125,3.1
2024/4/4 05:49,121.674,24.1687,3.8
2024/4/4 05:36,121.658,24.179,3.7
2024/4/4 05:36,121.534,23.7232,3.3
2024/4/4 05:26,121.744,23.9787,3.8
2024/4/4 05:20,121.859,24.5222,3.5
2024/4/4 05:19,121.779,24.1578,4.0
2024/4/4 05:12,121.631,24.0078,3.6
2024/4/4 04:58,121.63,23.9285,3.5
2024/4/4 04:51,121.781,24.0965,3.6
2024/4/4 04:47,121.715,24.2187,3.7
2024/4/4 04:30,121.666,24.1735,3.8
2024/4/4 04:29,121.823,24.2567,4.7
2024/4/4 04:28,121.655,24.1873,3.8
2024/4/4 04:28,121.653,24.1967,3.7
2024/4/4 04:26,121.69,24.2463,4.3
2024/4/4 04:25,121.834,24.1755,3.9
2024/4/4 04:16,121.826,24.1548,4.0
2024/4/4 04:10,121.847,24.1505,3.9
2024/4/4 04:04,121.757,24.2553,3.5
2024/4/4 04:03,121.889,23.7787,4.0
2024/4/4 04:01,121.701,24.0457,3.7
2024/4/4 03:54,121.667,24.1482,3.9
2024/4/4 03:49,121.612,23.962,3.5
2024/4/4 03:46,121.766,23.816,4.9
2024/4/4 03:35,121.627,24.0123,4.2
2024/4/4 03:35,121.635,23.9608,4.1
2024/4/4 03:33,121.621,23.954,3.9
2024/4/4 03:27,121.715,24.1332,3.6
2024/4/4 03:19,121.693,24.106,3.7
2024/4/4 03:15,121.727,24.2647,3.6
2024/4/4 03:07,121.74,23.9127,4.5
2024/4/4 03:04,121.751,24.2382,3.4
2024/4/4 02:55,121.674,24.169,4.1
2024/4/4 02:52,121.633,24.0423,3.6
2024/4/4 02:45,121.521,23.8605,3.8
2024/4/4 02:38,121.761,24.2525,3.5
2024/4/4 02:35,121.66,24.0725,3.7
2024/4/4 02:32,121.771,23.8165,4.2
2024/4/4 02:31,121.675,24.173,4.0
2024/4/4 02:30,121.683,24.1767,4.3
2024/4/4 02:29,121.788,23.7963,5.4
2024/4/4 02:04,121.613,24.0867,3.4
2024/4/4 01:44,121.655,23.8968,3.6
2024/4/4 01:40,121.571,24.039,3.2
2024/4/4 01:39,121.627,23.931,4.7
2024/4/4 01:30,121.77,24.2267,3.2
2024/4/4 01:20,121.813,24.0537,4.0
2024/4/4 01:18,121.769,24.082,4.7
2024/4/4 01:12,121.761,24.2518,3.7
2024/4/4 01:02,121.679,24.1808,3.8
2024/4/4 00:52,121.682,24.136,3.9
2024/4/4 00:33,121.668,24.003,3.7
2024/4/4 00:26,121.746,24.2408,3.3
2024/4/4 00:18,121.68,24.1503,3.1
2024/4/4 00:17,121.611,24.0885,3.1
2024/4/4 00:12,121.787,23.7845,4.1
2024/4/4 00:07,121.685,24.1735,3.0
2024/4/4 00:06,121.555,23.8428,3.8
2024/4/3 23:55,121.739,24.2115,5.1
