時間,地點1,小客車交通量,小貨車交通量,大客車交通量,大貨車交通量,聯結車交通量,小客車車速,小貨車車速,大客車車速,大貨車車速,聯結車車速
2,0492,76.0,9.0,1.0,5.0,1.0,100.0,100.0,104.0,97.0,86.0
2,0511,105.0,10.0,2.0,8.0,6.0,108.0,100.0,91.0,102.0,88.0
2,0511,58.0,7.0,2.0,2.0,1.0,97.0,97.0,86.0,91.0,97.0
2,0511,4.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
2,0511,2.0,0.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,79.0
2,0532,76.0,16.0,3.0,6.0,11.0,100.0,95.0,97.0,91.0,90.0
2,0532,6.0,1.0,0.0,1.0,1.0,82.0,97.0,0.0,97.0,75.0
2,0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0532,6.0,2.0,0.0,1.0,1.0,5.0,5.0,0.0,3.0,3.0
2,0532,72.0,21.0,4.0,4.0,2.0,97.0,93.0,97.0,88.0,90.0
2,0557,88.0,24.0,1.0,8.0,9.0,104.0,99.0,100.0,93.0,93.0
2,0557,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0557,48.0,8.0,1.0,4.0,4.0,97.0,100.0,90.0,88.0,84.0
2,0578,40.0,4.0,1.0,5.0,6.0,97.0,106.0,75.0,90.0,77.0
2,0578,15.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,0584,55.0,16.0,1.0,3.0,12.0,104.0,97.0,97.0,100.0,86.0
2,0633,36.0,9.0,0.0,3.0,10.0,104.0,104.0,0.0,93.0,82.0
2,0633,10.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0
2,0633,53.0,8.0,0.0,3.0,6.0,97.0,90.0,0.0,86.0,75.0
2,0664,57.0,9.0,0.0,3.0,4.0,100.0,100.0,0.0,82.0,82.0
2,0664,57.0,7.0,0.0,5.0,1.0,104.0,100.0,0.0,90.0,93.0
2,0681,76.0,13.0,1.0,7.0,2.0,104.0,97.0,93.0,93.0,84.0
2,0681,38.0,3.0,1.0,4.0,2.0,93.0,86.0,90.0,86.0,79.0
2,0699,63.0,11.0,1.0,9.0,3.0,100.0,97.0,86.0,93.0,86.0
2,0699,44.0,12.0,4.0,7.0,4.0,104.0,106.0,97.0,90.0,88.0
2,0750,57.0,15.0,2.0,8.0,6.0,108.0,100.0,95.0,102.0,81.0
2,0750,43.0,9.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0
2,0750,78.0,8.0,3.0,6.0,4.0,100.0,104.0,93.0,91.0,91.0
2,0880,82.0,26.0,2.0,4.0,4.0,100.0,102.0,93.0,81.0,64.0
2,0880,78.0,14.0,3.0,3.0,7.0,104.0,104.0,97.0,97.0,90.0
2,0928,95.0,13.0,1.0,9.0,7.0,108.0,100.0,90.0,90.0,82.0
2,0928,51.0,8.0,3.0,3.0,6.0,104.0,99.0,86.0,90.0,90.0
2,0950,66.0,10.0,3.0,1.0,6.0,104.0,104.0,97.0,75.0,86.0
2,0956,90.0,21.0,2.0,5.0,4.0,108.0,104.0,93.0,100.0,91.0
2,0979,78.0,14.0,1.0,7.0,6.0,102.0,104.0,82.0,86.0,88.0
2,0980,56.0,5.0,2.0,3.0,6.0,104.0,108.0,95.0,104.0,91.0
2,0980,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
2,0980,27.0,4.0,1.0,0.0,2.0,93.0,97.0,86.0,0.0,73.0
2,1045,78.0,14.0,3.0,6.0,5.0,100.0,100.0,97.0,93.0,90.0
2,1045,17.0,3.0,0.0,0.0,1.0,104.0,108.0,0.0,0.0,93.0
2,1045,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0
2,1045,57.0,7.0,4.0,3.0,4.0,100.0,104.0,95.0,93.0,84.0
2,1123,107.0,22.0,1.0,3.0,3.0,104.0,102.0,97.0,90.0,93.0
2,1123,47.0,14.0,6.0,5.0,4.0,100.0,99.0,93.0,79.0,82.0
2,1292,109.0,19.0,3.0,3.0,3.0,104.0,100.0,97.0,93.0,90.0
2,1292,56.0,9.0,4.0,1.0,2.0,104.0,104.0,91.0,86.0,86.0
2,1389,82.0,16.0,1.0,2.0,7.0,108.0,108.0,100.0,100.0,86.0
2,1389,62.0,12.0,6.0,3.0,0.0,102.0,104.0,90.0,86.0,0.0
2,1465,99.0,15.0,1.0,3.0,0.0,108.0,104.0,100.0,97.0,0.0
2,1465,78.0,12.0,1.0,2.0,2.0,104.0,104.0,90.0,88.0,88.0
2,1572,78.0,19.0,1.0,4.0,1.0,104.0,104.0,97.0,70.0,86.0
2,1572,71.0,11.0,1.0,2.0,0.0,108.0,104.0,82.0,88.0,0.0
2,1621,86.0,13.0,1.0,2.0,4.0,104.0,100.0,97.0,50.0,81.0
2,1621,40.0,10.0,3.0,1.0,1.0,111.0,109.0,93.0,86.0,54.0
2,1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1664,63.0,12.0,1.0,7.0,4.0,108.0,115.0,104.0,86.0,81.0
2,1664,6.0,1.0,0.0,0.0,0.0,100.0,108.0,0.0,0.0,0.0
2,1664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1664,40.0,8.0,2.0,1.0,2.0,109.0,106.0,90.0,86.0,79.0
2,1699,88.0,20.0,4.0,10.0,6.0,109.0,109.0,100.0,90.0,93.0
2,1699,49.0,6.0,2.0,7.0,2.0,108.0,102.0,91.0,97.0,82.0
