2024年4月,,,,,,
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024/4/11 19:08,121.808,24.2727,3.4,9.6,花蓮縣政府北北東方  36.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 15:40,121.814,24.5475,3.7,9.4,宜蘭縣政府南南東方  21.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024/4/11 14:31,121.559,24.0162,3.4,6.7,花蓮縣政府西北西方  6.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/11 14:07,121.736,24.1047,3.6,27.1,花蓮縣政府東北方  17.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/11 12:02,121.671,24.1797,4.1,36.2,花蓮縣政府北北東方  21.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 10:00,121.361,24.2157,3.7,5,花蓮縣政府西北方  36.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/11 09:20,121.922,24.217,3.7,26,花蓮縣政府東北方  39.6  公里 (位於臺灣東部海域)(臺灣東部海域)
193,2024/4/11 08:53,121.674,24.1767,4.1,24.4,花蓮縣政府北北東方  21.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 07:14,121.795,24.2703,3.3,11.5,花蓮縣政府北北東方  35.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 06:02,121.637,24.0408,4.2,24.4,花蓮縣政府北北東方  5.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 05:33,121.745,24.2423,3.2,11.5,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/11 05:02,121.563,23.8758,3.1,9.6,花蓮縣政府南南西方  14.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/11 03:58,121.942,24.1292,4.5,25.7,花蓮縣政府東北東方  36.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/11 03:13,121.562,23.787,3.5,7.1,花蓮縣政府南南西方  23.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/11 02:05,121.71,24.2552,3.3,13.4,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/11 01:00,121.776,24.163,3.3,5.2,花蓮縣政府東北方  24.8  公里 (位於臺灣東部海域)(臺灣東部海域)
192,2024/4/11 00:55,121.77,24.1852,4.9,6.4,花蓮縣政府東北方  26.4  公里 (位於臺灣東部海域)(臺灣東部海域)
191,2024/4/11 00:27,121.767,24.2002,4.3,19,花蓮縣政府東北方  27.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/10 22:19,121.873,24.4577,3.7,17.2,宜蘭縣政府南南東方  32.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024/4/10 21:34,121.85,24.2757,3.6,25,花蓮縣政府東北方  39.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/10 20:38,121.558,23.9962,3.2,9.6,花蓮縣政府西方  6.3  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024/4/10 20:13,121.518,23.7037,3.6,5,花蓮縣政府南南西方  33.5  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
190,2024/4/10 19:23,121.756,24.1043,4.8,18.4,花蓮縣政府東北方  18.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/10 18:07,121.699,24.2483,3.5,12.6,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
189,2024/4/10 17:09,121.612,23.9027,4.6,11.9,花蓮縣政府南方  9.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 15:46,121.774,24.2487,3.6,13.5,花蓮縣政府北北東方  32.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 14:57,121.716,24.0675,4.1,27.6,花蓮縣政府東北方  13.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/10 12:22,121.658,24.1885,3.7,29.6,花蓮縣政府北方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 11:20,121.789,24.2653,3.9,21.7,花蓮縣政府北北東方  34.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 11:17,121.623,23.9257,4,32.7,花蓮縣政府南方  7.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 07:29,121.705,24.2465,3.8,12.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/10 06:08,121.646,23.932,3.5,31,花蓮縣政府南南東方  7.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 05:36,121.652,24.0365,4.1,27.7,花蓮縣政府東北方  6.0  公里 (位於花蓮縣近海)(花蓮縣近海)
188,2024/4/10 05:34,121.702,24.118,4.6,16.9,花蓮縣政府北北東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/10 05:05,121.9,24.2412,3.9,10.1,花蓮縣政府東北方  39.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/10 01:59,121.655,23.9872,3.9,40.1,花蓮縣政府東方  3.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 22:13,121.617,23.8758,3.5,31.4,花蓮縣政府南方  12.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 21:22,121.623,23.9458,4,29.7,花蓮縣政府南方  5.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 21:03,121.665,24.2083,3.9,22.9,花蓮縣政府北北東方  24.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 21:00,121.827,24.2843,3,9.9,花蓮縣政府東北方  38.7  公里 (位於花蓮縣近海)(花蓮縣近海)
187,2024/4/9 20:20,121.729,24.2358,4.1,9.3,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
186,2024/4/9 20:01,120.724,23.1508,4.2,5.5,高雄市政府東北方  72.3  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2024/4/9 19:35,121.697,24.2415,3.1,11.8,花蓮縣政府北北東方  28.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/9 18:42,121.758,24.2045,3.2,8.7,花蓮縣政府北北東方  27.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 17:50,121.654,24.0352,4.1,36.4,花蓮縣政府東北方  6.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 16:01,121.848,24.3082,3.3,10.3,花蓮縣政府東北方  42.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 16:00,121.624,24.0308,3.7,24.7,花蓮縣政府北方  4.4  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/9 15:58,121.675,24.079,3.6,28.4,花蓮縣政府北北東方  11.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 15:49,121.666,24.1088,3.5,29.8,花蓮縣政府北北東方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
185,2024/4/9 15:40,121.539,23.8352,4.2,7.2,花蓮縣政府南南西方  19.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/9 14:47,121.816,24.1543,3.8,21.2,花蓮縣政府東北方  26.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 14:10,121.508,23.778,3.2,9.3,花蓮縣政府南南西方  26.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/9 14:03,121.629,24.0547,3.4,32.4,花蓮縣政府北方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 13:45,122.387,24.6762,3.8,12.8,宜蘭縣政府東方  63.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 13:41,121.986,24.3,3.4,13.9,花蓮縣政府東北方  50.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 13:21,121.74,24.2365,3.5,13.6,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 12:47,121.533,23.8547,3.5,3.6,花蓮縣政府南南西方  17.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/9 12:40,121.578,24.149,3.2,15.7,花蓮縣政府北北西方  18.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/9 11:51,121.84,24.2368,3.7,20.7,花蓮縣政府東北方  35.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 10:17,121.631,24.0147,4.1,22.1,花蓮縣政府北北東方  2.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024/4/9 10:17,121.764,24.2227,3.9,17.1,花蓮縣政府北北東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 10:15,121.754,24.2478,3.2,12.1,花蓮縣政府北北東方  31.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 10:13,121.533,23.8542,3.4,7.6,花蓮縣政府南南西方  17.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/9 10:08,121.7,24.2588,3.5,12.7,花蓮縣政府北北東方  30.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
184,2024/4/9 09:33,121.549,23.7742,4.3,23.7,花蓮縣政府南南西方  25.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
183,2024/4/9 07:26,121.679,24.1697,4.5,27.1,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 06:35,121.669,24.1017,4.1,44.3,花蓮縣政府北北東方  13.2  公里 (位於花蓮縣近海)(花蓮縣近海)
